Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Train Speed,Test Speed
0,0.06868179887533188,0.3732876777648926,0.054635223001241684,0.5034722089767456,35.310585021972656,45.640804290771484
1,0.04839431494474411,0.6095890402793884,0.04335365444421768,0.6388888955116272,35.927764892578125,44.804874420166016
2,0.042946863919496536,0.6378424763679504,0.04216678813099861,0.6284722089767456,34.68634796142578,47.09763717651367
3,0.03913630172610283,0.6755136847496033,0.03793343901634216,0.6840277910232544,35.871829986572266,44.75922393798828
4,0.03687715530395508,0.6857876777648926,0.04030579328536987,0.6388888955116272,35.5294189453125,47.43525695800781
5,0.03260544314980507,0.7226027250289917,0.0339520201086998,0.7361111044883728,36.5908088684082,45.21918869018555
6,0.03136902675032616,0.7431507110595703,0.033507339656353,0.6840277910232544,36.04071807861328,45.983821868896484
7,0.02799009159207344,0.767123281955719,0.03396760672330856,0.7118055820465088,31.923662185668945,30.686111450195312
8,0.027458803728222847,0.7765411138534546,0.03245265409350395,0.7222222089767456,27.587251663208008,18.056079864501953
9,0.024649834260344505,0.801369845867157,0.03962969779968262,0.6701388955116272,29.56829071044922,25.48558235168457
10,0.023508992046117783,0.8099315166473389,0.030012231320142746,0.7395833134651184,29.156644821166992,24.88581657409668
11,0.0220359917730093,0.8330479264259338,0.03150232881307602,0.7222222089767456,31.279705047607422,22.107311248779297
12,0.021969543769955635,0.8210616707801819,0.05123184993863106,0.5520833134651184,11.95235824584961,18.632179260253906
13,0.020244047045707703,0.840753436088562,0.029241831973195076,0.7569444179534912,27.045677185058594,23.75921630859375
14,0.019403746351599693,0.851883590221405,0.028646228834986687,0.7708333134651184,34.867767333984375,22.034076690673828
15,0.017573274672031403,0.8630136847496033,0.024585306644439697,0.8055555820465088,36.00301742553711,21.930400848388672
16,0.018121644854545593,0.8630136847496033,0.024434778839349747,0.8298611044883728,38.06041717529297,24.068504333496094
17,0.015980852767825127,0.8989726305007935,0.026301689445972443,0.8055555820465088,37.598350524902344,23.25414276123047
18,0.014850452542304993,0.909246563911438,0.027744634076952934,0.7708333134651184,28.79495620727539,17.245798110961914
19,0.012875028885900974,0.9238013625144958,0.024764440953731537,0.8055555820465088,37.608116149902344,20.989450454711914
20,0.012318974360823631,0.9272260069847107,0.021997712552547455,0.8541666865348816,35.018310546875,22.716571807861328
21,0.011168350465595722,0.9357876777648926,0.023148279637098312,0.8368055820465088,42.271507263183594,25.548137664794922
22,0.009959718212485313,0.9494863152503967,0.022630801424384117,0.84375,33.05170822143555,22.861268997192383
23,0.0099478829652071,0.9469178318977356,0.023485243320465088,0.8125,38.758182525634766,26.427709579467773
24,0.00891613494604826,0.9503424763679504,0.02236328087747097,0.8333333134651184,42.564659118652344,24.666688919067383
25,0.00861462950706482,0.948630154132843,0.022152382880449295,0.8402777910232544,34.39265060424805,23.09470558166504
26,0.007955939508974552,0.9648972749710083,0.022125553339719772,0.8194444179534912,35.21232986450195,23.025863647460938
27,0.007223872933536768,0.9674657583236694,0.021233033388853073,0.8472222089767456,38.002689361572266,20.592531204223633
28,0.007386327255517244,0.9640411138534546,0.021130643784999847,0.8263888955116272,31.32413673400879,22.377912521362305
29,0.00713376933708787,0.9666095972061157,0.02173532173037529,0.8194444179534912,37.113075256347656,26.076276779174805
30,0.00660076504573226,0.976883590221405,0.02045750617980957,0.8472222089767456,41.420188903808594,25.6856689453125
31,0.007033633533865213,0.9683219194412231,0.021780697628855705,0.8263888955116272,39.211483001708984,22.970197677612305
